BurstID,ObsDate,MJD,DM,Width,PeakFlux,Fluence,Energy_c,Energy_w,BandWidth,Width,PeakFlux,Fluence,Energy_w
 , ,Barycentric, ,FullBand,FullBand,FullBand,FullBand,FullBand, ,LimitedBand,LimitedBand,LimitedBand,LimitedBand
 , , ,(pc/cm^3),(ms),(mJy),(Jy ms),(1e37erg),(1e37erg),(MHz),(ms),(mJy),(Jy ms),(1e37erg)
191,20210928,59484.8306,411.51,3.57,15.7,0.056,1.567,0.627,200,3.65,36.72,0.134,0.6583
192,20210928,59484.83066,411.51,7.67,25.93,0.199,5.57,2.228,100,7.78,114.77,0.893,2.194
193,20210928,59484.83072,411.51,4.07,5.9,0.024,0.6718,0.2687,200,2.61,17.1,0.045,0.2194
194,20210928,59484.83074,411.51,4.68,22.2,0.104,2.911,1.164,300,4.49,39.98,0.179,1.323
195,20210928,59484.83074,411.51,5.58,51.8,0.289,8.089,3.236,200,5.1,132.06,0.674,3.314
196,20210928,59484.83084,411.51,6.76,76.51,0.517,14.47,5.788,450,5.87,83.51,0.49,5.426
197,20210928,59484.83135,411.51,2.55,27.04,0.069,1.931,0.7725,200,2.13,63.65,0.136,0.6673
198,20210928,59484.8319,411.51,9.63,352.86,3.397,95.08,38.03,500,8.65,353.02,3.054,37.55
199,20210928,59484.83202,411.51,8.46,184.56,1.561,43.69,17.48,400,7.62,224.4,1.711,16.82
200,20210928,59484.83204,411.51,4.63,134.94,0.625,17.49,6.998,250,4.24,281.44,1.192,7.328
201,20210928,59484.83209,411.51,3.26,11.95,0.039,1.092,0.4366,200,3.62,21.64,0.078,0.3851
202,20210928,59484.83249,411.51,7.55,14.84,0.112,3.135,1.254,300,6.51,28.11,0.183,1.35
203,20210928,59484.83274,411.51,3.5,17.41,0.061,1.707,0.683,100,4.85,57.12,0.277,0.6807
204,20210928,59484.83287,411.51,8.91,25.71,0.229,6.41,2.564,400,8.53,30.31,0.259,2.544
205,20210928,59484.83287,411.51,4.52,17.24,0.078,2.183,0.8733,200,3.78,47.76,0.18,0.8867
206,20210928,59484.83305,411.51,5.68,13.57,0.077,2.155,0.8621,200,4.95,34.96,0.173,0.8509
207,20210928,59484.83308,411.51,4.4,18.66,0.082,2.295,0.9181,300,3.98,32.53,0.129,0.9539
208,20210928,59484.83308,411.51,5.72,527.52,3.017,84.45,33.78,450,5.27,558.63,2.942,32.55
209,20210928,59484.83323,411.51,4.48,333.91,1.495,41.84,16.74,450,3.67,429.7,1.576,17.44
210,20210928,59484.83331,411.51,3.72,10.22,0.038,1.064,0.4254,300,4.38,14.36,0.063,0.4635
211,20210928,59484.83331,411.51,5.64,32.64,0.184,5.15,2.06,200,5.67,71.78,0.407,2.002
